Werk;Fassung;Titel;TitleSort;Opus;Untertitel;Komponist;Textdichter;Bearbeiter;Tonart;Tongeschlecht;Taktzähler;Takteinheit;common;Verlag;Quellart;PlattenNrDipl;PlattenNr;Datierung;Widmung;Internal;Bemerkungen;perfHinweis;Tempo;Höhe;Breite;Seiten;Stecherei;Besetzung;Quellart;Folii;Pagina
x;;Und wieder ward es Maienzeit;Und wieder ward es Maienzeit;62;;Ludwig Baumann;Franz Mäding;;f;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 627 H.;627;1907;;CMVS-HH-7;;;Andante.;270;170;2;C. G. Röder G. m. b. H., Leipzig;T,T,B,B;;2;arabic
x;;Vaganten-Lied;Vaganten-Lied;;;Ludwig Baumann;Ferdinand Dietz;;c;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 1362 H.;1362;;Dem M. G. V. »Eintracht« Pforzheim-Brötzingen und seinem verdienstvollen Dirigenten, Herrn Ludwig Lehmann gewidmet.;CMVS-HH-43;;;Frisch, etwa Marschtempo.;270;170;2;C. G. Röder G. m. b. H., Leipzig;T,T,B,B;;2;arabic
x;;Vergißmeinnicht;Vergißmeinnicht;;;Ludwig Baumann;Richard Dehmel;;c;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 2500 H.;2500;1928;Dem Gesangverein Triberg und seinem verdienstvollen Chormeister, Herrn Musikdirektor Albert Bier, gewidmet.;CMVS-HH-64;;;Der Anfang mit freiem Vortrag;270;170;4;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;3;arabic
x;;Die Verlassene;Verlassene;;;Volkslied;;Ludwig Baumann;a-flat;major;6;8;;Karl Hochstein Heidelberg;muspr;H. 802 H.;802;;;CMVS-HH-18;;;Ruhig gehende Bewegung.;270;170;1;;T,T,B,B;;2;arabic
x;;Waidmannsheil!;Waidmannsheil!;;;Ludwig Baumann;Emil Sauer;;c;major;6;8;;Karl Hochstein Heidelberg;muspr;H. 1082 H.;1082;1911;Dem Männergesangverein Durlach und seinem verdienstvollen Dirigenten, Herrn  Ludwig Lehmann gewidmet.;CMVS-HH-34;Pflichtchor in Pforzheim 1911;;PunktierteViertel = 80 (ungefähr);270;170;5;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;4;arabic
x;;Waldesgruß;Waldesgruß;18;;Ludwig Baumann;Louis Selbst;;a;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 3256 H.;3256;;;CMVS-HH-74;;;Mäßig.;270;170;2;F. M. Geidel, Leipzig;T,T,B,B;;2;arabic
x;;Die Waldquelle;Waldquelle;52;;Ludwig Baumann;Ludwig Baumann;;a;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 3259 H.;3259;;;CMVS-HH-76;;;Getragen, mit zarter Tongebung.;270;170;2;;T,T,B,B;Nachdruck;2;none
x;;Weihnachten im Waldkirchlein;Weihnachten im Waldkirchlein;88;;Ludwig Baumann;F. W. Weber;;d;major;4;4;true;Karl Hochstein Heidelberg;muspr;H 903 H;903;;;CMVS-HH-25;Fassung für Männerchor;;Ernst und feierlich;270;170;2;;T,T,B,B;Nachdruck;2;none
;x;Weihnachten im Waldkirchlein;Weihnachten im Waldkirchlein;88;;Ludwig Baumann;Fedor von Waldow;;c;major;4;4;true;Karl Hochstein Heidelberg;muspr;H 905 H;905;;;CMVS-HH-22;Fassung für gemischter Chor;;Ernst und feierlich;270;170;2;;S,A,T,B;Nachdruck;2;none
x;;Weihnachtsglöckchen;Weihnachtsglöckchen;;;Ludwig Baumann;Fritz Eifler;;d;major;3;4;;Karl Hochstein Heidelberg;muspr;H 1295 H;1295;;;CMVS-HH-77;;;Ernst und feierlich.;270;170;2;;T,T,B,B;Nachdruck;2;none
x;;Weihnachtslied;Weihnachtslied;;Still, still, still, ...;Salzburgisches Volkslied;Salzburgisches Volkslied;Ludwig Baumann;f;major;2;4;;Karl Hochstein Heidelberg;muspr;H 1043 H;1043;;;CMVS-HH-33;;;Sehr zart, aber nicht schleppend.;270;170;1;;S,A,T,B;Nachdruck;2;none
x;;Weihnachtslied;Weihnachtslied;;Wir wandern stille Hand in Hand;Ludwig Baumann;Georg Türk;;g;major;4;4;true;Karl Hochstein Heidelberg;muspr;H 2101 H;2101;;;CMVS-HH-56;;;Einfach, ruhige Bewegung;270;170;2;;T,T,B,B;Nachdruck;2;none
x;;Weihnachtstraum;Weihnachtstraum;;;Ludwig Baumann;Erich Langer;;b-flat;major;4;4;true;Karl Hochstein Heidelberg;muspr;H 3590 H;3590;;;CMVS-HH-79;;;Getragen, innig;270;170;2;;T,T,B,B;Nachdruck;2;none
x;;Wenn der Ginster blüht!;Wenn der Ginster blüht!;65;;Ludwig Baumann;F. W. Weber;;a;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 652 H.;652;1908;;CMVS-HH-11;;;Nicht schleppend.;270;170;3;;T,T,B,B;;3;arabic
x;;Wenns die Soldaten durch die Stadt marschieren;Wenns die Soldaten durch die Stadt marschieren;;;Soldatenlied;Soldatenlied;Ludwig Baumann;g;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 3093 H.;3093;;;CMVS-HH-73;;;;270;170;4;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;3;arabic
x;;Die Zigeunerin;Zigeunerin;30;;Ludwig Baumann;Ernst Ziel;;d;minor;4;4;true;Karl Hochstein Heidelberg;muspr;K. H. 416;416;nach 1904;;CMVS-HH-2;Preisgekrönt vom Badischen Sängerbund 1904;;Sehr gehalten.;270;170;10;;T,T,B,B;;6;arabic
x;;Zu Bethlehem geboren;Zu Bethlehem geboren;;;Altes Weihnachtslied;unbekannt;Ludwig Baumann;g;major;4;4;true;Karl Hochstein Heidelberg;muspr;H 643 H;643;;;CMVS-HH-9;;;;270;170;2;;S,A,T,B;Nachdruck;2;none
